high,left,impression,yes,yes,yes
high,left,political,yes,yes,yes
medium,middle,tourism,yes,yes,yes
high,left,political,yes,yes,yes
medium,middle,news,yes,yes,yes
medium,middle,news,yes,yes,yes
high,left,political,yes,yes,yes
high,right,political,yes,no,yes
high,right,political,yes,no,no
medium,right,tourism,yes,no,yes
high,right,tourism,yes,yes,yes
medium,left,news,yes,no,yes
high,left,political,yes,yes,no
low,right,news,no,yes,no
high,left,political,yes,yes,yes
medium,left,impression,yes,yes,yes
medium,left,political,yes,yes,yes
high,right,political,yes,yes,yes
medium,left,impression,yes,yes,yes
high,right,tourism,yes,yes,no
high,left,political,yes,yes,yes
medium,left,news,yes,yes,yes
high,right,political,no,yes,no
low,left,tourism,yes,no,no
high,left,news,yes,yes,yes
high,left,political,yes,yes,yes
low,right,impression,no,no,yes
high,right,political,yes,yes,yes
high,left,impression,no,no,yes
medium,left,scientific,yes,yes,no
high,right,political,yes,yes,yes
low,left,scientific,yes,yes,no
medium,right,tourism,yes,yes,no
low,right,political,yes,yes,yes
high,left,impression,yes,no,yes
medium,left,tourism,yes,no,yes
medium,middle,scientific,yes,no,yes
medium,middle,impression,no,yes,no
medium,right,scientific,yes,yes,no
medium,left,impression,no,no,yes
high,left,political,yes,yes,no
medium,left,news,no,yes,yes
high,left,political,yes,yes,yes
medium,right,news,yes,yes,no
medium,left,tourism,yes,no,yes
medium,middle,news,yes,yes,yes
low,middle,impression,yes,no,no
low,right,impression,yes,no,no
medium,right,news,yes,yes,no
medium,left,impression,yes,yes,yes
high,left,political,yes,yes,yes
high,left,political,yes,yes,yes
medium,middle,tourism,yes,yes,yes
high,left,political,yes,yes,yes
medium,middle,news,yes,yes,yes
medium,middle,news,yes,yes,yes
high,left,political,yes,yes,yes
high,right,political,yes,no,yes
high,right,political,yes,no,no
medium,right,tourism,yes,no,yes
medium,right,tourism,yes,yes,yes
medium,left,news,yes,no,yes
high,left,impression,yes,yes,no
low,right,news,no,yes,no
high,left,political,yes,yes,yes
medium,left,impression,yes,yes,yes
medium,left,political,yes,yes,yes
high,right,political,yes,yes,yes
medium,left,political,yes,yes,yes
high,right,impression,yes,yes,no
medium,left,political,yes,yes,yes
medium,left,news,yes,yes,yes
medium,right,political,no,yes,no
low,left,tourism,yes,no,no
high,left,news,yes,yes,yes
high,left,political,yes,yes,yes
low,right,impression,no,no,yes
high,right,political,yes,yes,yes
high,left,impression,no,no,yes
medium,left,scientific,yes,yes,no
high,right,political,yes,yes,yes
low,left,scientific,yes,yes,no
medium,right,tourism,yes,yes,no
low,right,political,yes,yes,yes
high,left,impression,yes,no,yes
medium,left,tourism,yes,no,yes
medium,middle,impression,yes,no,yes
medium,middle,impression,no,yes,no
medium,right,scientific,yes,yes,no
medium,left,impression,no,no,yes
high,left,political,yes,yes,no
medium,left,news,no,yes,yes
high,left,political,yes,yes,yes
medium,right,news,yes,yes,no
medium,left,tourism,yes,no,yes
medium,middle,impression,yes,yes,yes
low,middle,impression,yes,no,no
low,right,impression,yes,no,no
medium,right,news,yes,yes,no
medium,left,impression,yes,yes,yes
